260,Poland,all repeaters in Poland,,,,POLAND,
2601,Poland SP1,Regional talk in SP1,,,,POLAND,
2602,Poland SP1,Regional talk in SP2,,,,POLAND,
2603,Poland SP1,Regional talk in SP3,,,,POLAND,
2604,Poland SP1,Regional talk in SP4,,,,POLAND,
2605,Poland SP1,Regional talk in SP5,,,,POLAND,
2606,Poland SP1,Regional talk in SP6,,,,POLAND,
2607,Poland SP1,Regional talk in SP7,,,,POLAND,
2608,Poland SP1,Regional talk in SP8,,,,POLAND,
2609,Poland SP1,Regional talk in SP9,,,,POLAND,
5000,Status,,,,,,
260015,EmCom OPS,EmCom OPS,,,,POLAND,
260017,HAM-DMR.PL - SysOps/Maint,HAM-DMR.PL - SysOps/Maint,,,,POLAND,
260019,Homebrew testing,Homebrew testing,,,,POLAND,
260021,YSF021 Reflector,YSF021 Reflector,,,,POLAND,
260022,YSF022 Reflector,YSF021 Reflector,,,,POLAND,
260023,YSF023 Reflector,YSF021 Reflector,,,,POLAND,
260024,YSF024 Reflector,YSF021 Reflector,,,,POLAND,
260041,XLX-132 C,XLX-132 C,,,,POLAND,
260042,Wires-X POLAND,Wires-X POLAND,,,,POLAND,
260043,Wires-X SR3XX-ROOM,Wires-X SR3XX-ROOM,,,,POLAND,
260048,Wires-X SR8WD-ROOM,Wires-X SR8WD-ROOM,,,,POLAND,
260990,Messaging service,Messaging service,,,,POLAND,
260997,Echo,Echo Funktion,,,,POLAND,
260998,TCP/IP Bridge,TCP/IP Bridge,,,,POLAND,
260999,GPS/RRS/APRS,GPS/RRS/APRS,,,,POLAND,
262997,Papagei,Echo Funktion,,,,Germany,
425991,Demo,Demo Application,,,,Israel,
425997,Papagei,Echo Funktion,,,,Israel,
